subjectid,responseid,block,trial,stimulus,hasDecoy,colormap,distance,requestedDistance,correct,responseTime,generationTime,Design,Name_Length,LAB_Length
37,2037,1,1,1,1,blues,0.339109,0.34,0,7741,336,singlehue,1.2,109.44
37,2038,1,1,2,1,blues,0.126473,0.13,0,3391,90,singlehue,1.2,109.44
37,2039,1,1,3,1,blues,0.225125,0.23,1,5054,140,singlehue,1.2,109.44
37,2040,1,1,4,1,blues,0.218535,0.21,1,2750,133,singlehue,1.2,109.44
37,2041,1,1,5,1,blues,0.166305,0.16,0,2321,166,singlehue,1.2,109.44
37,2042,1,1,6,1,blues,0.180464,0.19,0,3995,507,singlehue,1.2,109.44
37,2043,1,1,7,1,blues,0.292272,0.285,0,2286,241,singlehue,1.2,109.44
37,2044,1,2,8,1,blues,0.230516,0.23,0,2233,127,singlehue,1.2,109.44
37,2045,1,1,9,1,blues,0.101533,0.11,1,5890,100,singlehue,1.2,109.44
37,2046,1,1,10,1,blues,0.320543,0.32,1,2844,246,singlehue,1.2,109.44
37,2047,1,2,11,1,blues,0.160014,0.16,0,2444,274,singlehue,1.2,109.44
37,2048,1,2,12,1,blues,0.342902,0.34,0,2769,173,singlehue,1.2,109.44
37,2049,1,1,13,1,blues,0.290211,0.3,1,4124,116,singlehue,1.2,109.44
37,2050,1,2,14,1,blues,0.106835,0.11,1,2063,246,singlehue,1.2,109.44
37,2051,1,2,15,1,blues,0.300613,0.3,1,4023,265,singlehue,1.2,109.44
37,2052,1,2,16,1,blues,0.196816,0.19,0,1653,112,singlehue,1.2,109.44
37,2053,1,1,17,1,blues,0.262549,0.26,0,1723,573,singlehue,1.2,109.44
37,2054,1,2,18,1,blues,0.265886,0.26,0,2538,305,singlehue,1.2,109.44
37,2055,1,2,19,1,blues,0.284072,0.285,1,1434,271,singlehue,1.2,109.44
37,2056,1,2,20,1,blues,0.219159,0.21,0,2320,133,singlehue,1.2,109.44
37,2057,1,2,21,1,blues,0.1352,0.13,0,2502,73,singlehue,1.2,109.44
37,2058,1,2,22,1,blues,0.326454,0.32,0,4177,253,singlehue,1.2,109.44
37,2059,2,1,23,1,rainbowcie,0.349005,0.34,0,8811,281,rainbow,4.6,453.83
37,2060,2,1,24,1,rainbowcie,0.279906,0.285,0,2626,118,rainbow,4.6,453.83
37,2061,2,1,25,1,rainbowcie,0.168408,0.16,0,3240,356,rainbow,4.6,453.83
37,2062,2,2,26,1,rainbowcie,0.163944,0.16,1,4862,87,rainbow,4.6,453.83
37,2063,2,1,27,1,rainbowcie,0.313957,0.32,1,1698,169,rainbow,4.6,453.83
37,2064,2,1,28,1,rainbowcie,0.193049,0.19,0,4590,257,rainbow,4.6,453.83
37,2065,2,1,29,1,rainbowcie,0.203142,0.21,0,3411,338,rainbow,4.6,453.83
37,2066,2,2,30,1,rainbowcie,0.277968,0.285,0,2443,622,rainbow,4.6,453.83
37,2067,2,1,31,1,rainbowcie,0.125145,0.13,1,1613,78,rainbow,4.6,453.83
37,2068,2,2,32,1,rainbowcie,0.34515,0.34,1,4690,76,rainbow,4.6,453.83
37,2069,2,2,33,1,rainbowcie,0.132006,0.13,1,2456,143,rainbow,4.6,453.83
37,2070,2,1,34,1,rainbowcie,0.22525,0.23,1,2948,132,rainbow,4.6,453.83
37,2071,2,2,35,1,rainbowcie,0.195315,0.19,1,6199,133,rainbow,4.6,453.83
37,2072,2,1,36,1,rainbowcie,0.2606,0.26,1,1375,79,rainbow,4.6,453.83
37,2073,2,3,37,1,rainbowcie,0.340481,0.34,1,2311,75,rainbow,4.6,453.83
37,2074,2,2,38,1,rainbowcie,0.328927,0.32,0,3201,76,rainbow,4.6,453.83
37,2075,2,1,39,1,rainbowcie,0.104226,0.11,0,3420,204,rainbow,4.6,453.83
37,2076,2,2,40,1,rainbowcie,0.257401,0.26,1,6017,151,rainbow,4.6,453.83
37,2077,2,2,41,1,rainbowcie,0.2149,0.21,0,3251,337,rainbow,4.6,453.83
37,2078,2,1,42,1,rainbowcie,0.297054,0.3,1,6786,789,rainbow,4.6,453.83
37,2079,2,2,43,1,rainbowcie,0.290886,0.3,1,3565,135,rainbow,4.6,453.83
37,2080,2,2,44,1,rainbowcie,0.233388,0.23,1,1974,67,rainbow,4.6,453.83
37,2081,3,1,45,1,plasma,0.114598,0.11,0,3160,111,multihue,3.44,224.82
37,2082,3,1,46,1,plasma,0.301996,0.3,0,4077,143,multihue,3.44,224.82
37,2083,3,1,47,1,plasma,0.336741,0.34,0,2270,86,multihue,3.44,224.82
37,2084,3,1,48,1,plasma,0.228456,0.23,0,2578,120,multihue,3.44,224.82
37,2085,3,1,49,1,plasma,0.195822,0.19,0,2841,496,multihue,3.44,224.82
37,2086,3,1,50,1,plasma,0.161563,0.16,0,1891,77,multihue,3.44,224.82
37,2087,3,2,51,1,plasma,0.338315,0.34,1,1399,256,multihue,3.44,224.82
37,2088,3,2,52,1,plasma,0.303511,0.3,1,3569,157,multihue,3.44,224.82
37,2089,3,1,53,1,plasma,0.209512,0.21,1,1725,107,multihue,3.44,224.82
37,2090,3,1,54,1,plasma,0.325066,0.32,1,2456,201,multihue,3.44,224.82
37,2091,3,2,55,1,plasma,0.221674,0.23,0,2670,169,multihue,3.44,224.82
37,2092,3,2,56,1,plasma,0.327815,0.32,1,1896,374,multihue,3.44,224.82
37,2093,3,1,57,1,plasma,0.122156,0.13,1,1663,115,multihue,3.44,224.82
37,2094,3,1,58,1,plasma,0.251051,0.26,0,2956,161,multihue,3.44,224.82
37,2095,3,2,59,1,plasma,0.129909,0.13,0,2335,204,multihue,3.44,224.82
37,2096,3,2,60,1,plasma,0.258794,0.26,1,2958,119,multihue,3.44,224.82
37,2097,3,2,61,1,plasma,0.201379,0.21,0,2736,276,multihue,3.44,224.82
37,2098,3,2,62,1,plasma,0.199513,0.19,1,2614,163,multihue,3.44,224.82
37,2099,3,1,63,1,plasma,0.291098,0.285,1,3446,247,multihue,3.44,224.82
37,2100,3,2,64,1,plasma,0.112056,0.11,0,2113,129,multihue,3.44,224.82
37,2101,3,3,65,1,plasma,0.108279,0.11,1,2060,157,multihue,3.44,224.82
37,2102,3,2,66,1,plasma,0.278716,0.285,1,1403,114,multihue,3.44,224.82
37,2103,4,1,67,1,greyred,0.162078,0.16,0,2810,126,divergent,2.57,163.89
37,2104,4,1,68,1,greyred,0.292676,0.285,0,2733,84,divergent,2.57,163.89
37,2105,4,1,69,1,greyred,0.310754,0.32,0,1068,216,divergent,2.57,163.89
37,2106,4,1,70,1,greyred,0.115485,0.11,0,2046,144,divergent,2.57,163.89
37,2107,4,2,71,1,greyred,0.166357,0.16,1,2227,178,divergent,2.57,163.89
37,2108,4,1,72,1,greyred,0.331828,0.34,0,1855,640,divergent,2.57,163.89
37,2109,4,2,73,1,greyred,0.108768,0.11,1,1850,69,divergent,2.57,163.89
37,2110,4,1,74,1,greyred,0.181464,0.19,0,2666,245,divergent,2.57,163.89
37,2111,4,1,75,1,greyred,0.264716,0.26,1,2050,82,divergent,2.57,163.89
37,2112,4,2,76,1,greyred,0.331142,0.34,0,4652,182,divergent,2.57,163.89
37,2113,4,2,77,1,greyred,0.316759,0.32,0,1648,117,divergent,2.57,163.89
37,2114,4,1,78,1,greyred,0.301762,0.3,1,4273,163,divergent,2.57,163.89
37,2115,4,2,79,1,greyred,0.261577,0.26,0,1348,83,divergent,2.57,163.89
37,2116,4,1,80,1,greyred,0.12712,0.13,0,2454,89,divergent,2.57,163.89
37,2117,4,1,81,1,greyred,0.201813,0.21,0,2434,512,divergent,2.57,163.89
37,2118,4,2,82,1,greyred,0.211201,0.21,1,1970,81,divergent,2.57,163.89
37,2119,4,1,83,1,greyred,0.230501,0.23,0,3012,226,divergent,2.57,163.89
37,2120,4,2,84,1,greyred,0.225422,0.23,0,2421,108,divergent,2.57,163.89
37,2121,4,3,85,1,greyred,0.161416,0.16,0,1578,261,divergent,2.57,163.89
37,2122,4,2,86,1,greyred,0.191962,0.19,0,3443,221,divergent,2.57,163.89
37,2123,4,2,87,1,greyred,0.293095,0.3,0,1771,217,divergent,2.57,163.89
37,2124,4,2,88,1,greyred,0.279018,0.285,0,3351,103,divergent,2.57,163.89
40,2125,1,1,1,1,greyred,0.323844,0.32,1,5645,279,divergent,2.57,163.89
40,2126,1,1,2,1,greyred,0.135004,0.13,0,4643,166,divergent,2.57,163.89
40,2127,1,1,3,1,greyred,0.16382,0.16,1,6259,100,divergent,2.57,163.89
40,2128,1,1,4,1,greyred,0.332139,0.34,1,2838,135,divergent,2.57,163.89
40,2129,1,1,5,1,greyred,0.183104,0.19,0,6086,133,divergent,2.57,163.89
40,2130,1,1,6,1,greyred,0.296883,0.3,1,4964,87,divergent,2.57,163.89
40,2131,1,2,7,1,greyred,0.195938,0.19,1,5220,167,divergent,2.57,163.89
40,2132,1,2,8,1,greyred,0.127709,0.13,0,4858,90,divergent,2.57,163.89
40,2133,1,1,9,1,greyred,0.229789,0.23,1,2870,265,divergent,2.57,163.89
40,2134,1,2,10,1,greyred,0.158314,0.16,1,5824,373,divergent,2.57,163.89
40,2135,1,2,11,1,greyred,0.334524,0.34,1,1352,494,divergent,2.57,163.89
40,2136,1,1,12,1,greyred,0.281475,0.285,1,5704,566,divergent,2.57,163.89
40,2137,1,2,13,1,greyred,0.301144,0.3,1,2632,88,divergent,2.57,163.89
40,2138,1,2,14,1,greyred,0.222206,0.23,0,1978,102,divergent,2.57,163.89
40,2139,1,1,15,1,greyred,0.102373,0.11,0,2040,81,divergent,2.57,163.89
40,2140,1,1,16,1,greyred,0.267231,0.26,1,1676,184,divergent,2.57,163.89
40,2141,1,1,17,1,greyred,0.219251,0.21,1,4865,458,divergent,2.57,163.89
40,2142,1,2,18,1,greyred,0.106979,0.11,0,3565,169,divergent,2.57,163.89
40,2143,1,2,19,1,greyred,0.269173,0.26,1,2982,157,divergent,2.57,163.89
40,2144,1,2,20,1,greyred,0.206427,0.21,0,3276,165,divergent,2.57,163.89
40,2145,1,2,21,1,greyred,0.323526,0.32,1,1603,86,divergent,2.57,163.89
40,2146,1,2,22,1,greyred,0.282091,0.285,1,1273,412,divergent,2.57,163.89
40,2147,2,1,23,1,plasma,0.324518,0.32,1,1657,159,multihue,3.44,224.82
40,2148,2,2,24,1,plasma,0.316919,0.32,0,3732,134,multihue,3.44,224.82
40,2149,2,1,25,1,plasma,0.281376,0.285,1,2805,844,multihue,3.44,224.82
40,2150,2,1,26,1,plasma,0.107445,0.11,0,3326,159,multihue,3.44,224.82
40,2151,2,1,27,1,plasma,0.348392,0.34,1,1136,234,multihue,3.44,224.82
40,2152,2,1,28,1,plasma,0.134723,0.13,1,1745,86,multihue,3.44,224.82
40,2153,2,1,29,1,plasma,0.226099,0.23,1,2113,437,multihue,3.44,224.82
40,2154,2,2,30,1,plasma,0.334222,0.34,0,2223,359,multihue,3.44,224.82
40,2155,2,2,31,1,plasma,0.121427,0.13,0,3503,162,multihue,3.44,224.82
40,2156,2,1,32,1,plasma,0.308162,0.3,1,2440,121,multihue,3.44,224.82
40,2157,2,2,33,1,plasma,0.291309,0.285,1,3629,353,multihue,3.44,224.82
40,2158,2,1,34,1,plasma,0.181504,0.19,0,3951,284,multihue,3.44,224.82
40,2159,2,2,35,1,plasma,0.295254,0.3,1,1498,84,multihue,3.44,224.82
40,2160,2,1,36,1,plasma,0.215556,0.21,1,2144,135,multihue,3.44,224.82
40,2161,2,1,37,1,plasma,0.253252,0.26,1,2314,81,multihue,3.44,224.82
40,2162,2,2,38,1,plasma,0.26487,0.26,1,1265,116,multihue,3.44,224.82
40,2163,2,1,39,1,plasma,0.157093,0.16,0,2040,285,multihue,3.44,224.82
40,2164,2,2,40,1,plasma,0.239813,0.23,0,2178,444,multihue,3.44,224.82
40,2165,2,2,41,1,plasma,0.108162,0.11,0,1578,178,multihue,3.44,224.82
40,2166,2,2,42,1,plasma,0.185848,0.19,0,2668,134,multihue,3.44,224.82
40,2167,2,3,43,1,plasma,0.329668,0.32,1,1927,327,multihue,3.44,224.82
40,2168,2,2,44,1,plasma,0.210169,0.21,0,3446,79,multihue,3.44,224.82
40,2169,3,1,45,1,blues,0.156185,0.16,1,3341,564,singlehue,1.2,109.44
40,2170,3,1,46,1,blues,0.254618,0.26,1,2347,275,singlehue,1.2,109.44
40,2171,3,1,47,1,blues,0.348629,0.34,1,2476,132,singlehue,1.2,109.44
40,2172,3,2,48,1,blues,0.251885,0.26,0,3473,129,singlehue,1.2,109.44
40,2173,3,1,49,1,blues,0.299255,0.3,1,3672,83,singlehue,1.2,109.44
40,2174,3,1,50,1,blues,0.114155,0.11,0,2515,94,singlehue,1.2,109.44
40,2175,3,1,51,1,blues,0.287431,0.285,1,3879,295,singlehue,1.2,109.44
