"subjectid","responseid","block","trial","stimulus","colormap","Name_Length","LAB_Length","hasDecoy","distance","requestedDistance","correct","selection","responseTime","generationTime"
"291","18047","1","1","1","coolwarm","2.42","231.55","0","0","0","1","99","2912","140"
"291","18048","1","1","2","coolwarm","2.42","231.55","0","0","0","1","99","4142","72"
"291","18049","1","2","3","coolwarm","2.42","231.55","0","0","0","1","99","4349","56"
"291","18050","1","1","4","coolwarm","2.42","231.55","1","0.245802","0.24","1","3","2078","70"
"291","18051","1","1","5","coolwarm","2.42","231.55","1","0.214607","0.21","1","1","4180","101"
"291","18052","1","1","6","coolwarm","2.42","231.55","1","0.238787","0.23","1","1","5334","145"
"291","18053","1","1","7","coolwarm","2.42","231.55","1","0.257586","0.26","0","99","6534","158"
"291","18054","1","3","8","coolwarm","2.42","231.55","0","0","0","1","99","3524","62"
"291","18055","1","4","9","coolwarm","2.42","231.55","0","0","0","1","99","6181","51"
"291","18056","1","5","10","coolwarm","2.42","231.55","0","0","0","1","99","3614","63"
"291","18057","1","2","11","coolwarm","2.42","231.55","1","0.217341","0.21","0","99","3277","119"
"291","18058","1","6","12","coolwarm","2.42","231.55","0","0","0","1","99","4349","56"
"291","18059","1","7","13","coolwarm","2.42","231.55","0","0","0","1","99","5271","56"
"291","18060","1","2","14","coolwarm","2.42","231.55","1","0.2347","0.24","1","2","2764","467"
"291","18061","1","2","15","coolwarm","2.42","231.55","1","0.2561","0.26","1","4","3191","128"
"291","18062","1","8","16","coolwarm","2.42","231.55","0","0","0","1","99","2541","55"
"291","18063","1","3","17","coolwarm","2.42","231.55","1","0.201839","0.21","1","3","7108","395"
"291","18064","1","2","18","coolwarm","2.42","231.55","0","0","0","1","99","3356","56"
"291","18065","1","2","19","coolwarm","2.42","231.55","1","0.233071","0.23","1","2","3902","51"
"291","18066","1","9","20","coolwarm","2.42","231.55","0","0","0","1","99","2373","55"
"291","18067","1","3","21","coolwarm","2.42","231.55","1","0.267836","0.26","0","99","5349","147"
"291","18068","1","3","22","coolwarm","2.42","231.55","1","0.220638","0.23","0","99","3630","216"
"291","18069","1","3","23","coolwarm","2.42","231.55","1","0.237397","0.24","0","99","3630","198"
"291","18070","1","10","24","coolwarm","2.42","231.55","0","0","0","1","99","2597","49"
"291","18071","2","1","25","blues","1.2","109.44","1","0.221725","0.23","1","4","4576","304"
"291","18072","2","1","26","blues","1.2","109.44","1","0.208567","0.21","1","1","6566","57"
"291","18073","2","1","27","blues","1.2","109.44","0","0","0","1","99","2590","57"
"291","18074","2","1","28","blues","1.2","109.44","0","0","0","1","99","4734","58"
"291","18075","2","2","29","blues","1.2","109.44","0","0","0","1","99","2374","57"
"291","18076","2","2","30","blues","1.2","109.44","1","0.225253","0.23","0","99","3926","56"
"291","18077","2","3","31","blues","1.2","109.44","0","0","0","1","99","4190","67"
"291","18078","2","4","32","blues","1.2","109.44","0","0","0","1","99","2718","57"
"291","18079","2","5","33","blues","1.2","109.44","0","0","0","1","99","4110","56"
"291","18080","2","6","34","blues","1.2","109.44","0","0","0","1","99","3486","52"
"291","18081","2","7","35","blues","1.2","109.44","0","0","0","1","99","3733","48"
"291","18082","2","8","36","blues","1.2","109.44","0","0","0","1","99","2646","50"
"291","18083","2","3","37","blues","1.2","109.44","1","0.223404","0.23","0","2","6750","206"
"291","18084","2","9","38","blues","1.2","109.44","0","0","0","1","99","3622","57"
"291","18085","2","1","39","blues","1.2","109.44","1","0.258272","0.26","0","99","4541","201"
