"subjectid","gender","age","education","comment","signuptime","finishtime"
"291","nosay","35","highschool",NULL,"2020-03-26 14:44:00","2020-03-26 14:56:13"
"293","male","27","associate",NULL,"2020-03-26 16:18:22","2020-03-26 16:44:42"
"295","male","27","highschool",NULL,"2020-03-26 16:24:21","2020-03-26 16:45:32"
"296","female",NULL,"associate","Thanks","2020-03-26 16:33:51","2020-03-26 16:56:54"
"297","female","27","highschool",NULL,"2020-03-26 16:37:03","2020-03-26 16:59:49"
"294","male","32","bachelor","Great Study, hope to do more in the future.","2020-03-26 16:22:02","2020-03-26 17:01:52"
"300","male","38","bachelor","no","2020-03-26 17:09:24","2020-03-26 17:57:05"
"302","female","39","associate",NULL,"2020-03-26 18:27:25","2020-03-26 18:46:44"
"303","female",NULL,"highschool",NULL,"2020-03-26 18:48:27","2020-03-26 19:03:52"
"307","male","25","associate",NULL,"2020-03-26 19:11:58","2020-03-26 19:18:45"
"306","female","35","bachelor",NULL,"2020-03-26 19:10:50","2020-03-26 19:26:36"
"308","male","38","highschool",NULL,"2020-03-26 19:35:25","2020-03-26 19:47:11"
"309","female",NULL,"associate",NULL,"2020-03-26 20:01:48","2020-03-26 20:10:51"
"310","male",NULL,"bachelor",NULL,"2020-03-26 20:02:49","2020-03-26 20:11:59"
"317","female","45","highschool",NULL,"2020-03-26 20:09:46","2020-03-26 20:26:31"
"318","female","45","associate","It was interesting...thank you","2020-03-26 20:11:47","2020-03-26 20:27:50"
"312","female","46","bachelor",NULL,"2020-03-26 20:04:31","2020-03-26 20:28:17"
"313","female","49","bachelor",NULL,"2020-03-26 20:05:26","2020-03-26 20:28:49"
"325","female","30","highschool",NULL,"2020-03-26 20:26:27","2020-03-26 20:41:09"
"323","nosay","27","highschool",NULL,"2020-03-26 20:24:38","2020-03-26 20:41:24"
"322","male",NULL,"bachelor","This was a very fun study, I wonder how well I did.","2020-03-26 20:20:47","2020-03-26 20:42:50"
"329","male",NULL,"associate","none","2020-03-26 20:31:39","2020-03-26 20:44:00"
"315","female","47","bachelor","this was hard but interesting","2020-03-26 20:06:28","2020-03-26 20:46:31"
"328","female","29","highschool",NULL,"2020-03-26 20:30:29","2020-03-26 20:49:11"
"321","male","25","highschool",NULL,"2020-03-26 20:20:06","2020-03-26 20:51:43"
"332","male","35","bachelor",NULL,"2020-03-26 20:40:34","2020-03-26 20:58:12"
